project_id,team_size,team_experience_years,budget_thousands,duration_days,complexity,risk,success
97,10,3.5,398.25,176,Low,0.13,0
98,8,4.5,320.87,147,Medium,0.2,0
99,5,4.9,451.64,181,Medium,0.3,0
100,3,6.2,249.52,101,Low,0.3,0
101,5,5.4,323.19,166,Medium,0.04,0
102,7,2.3,334.09,204,Medium,0.63,0
103,5,5.8,316.26,318,Low,0.47,1
104,3,6.2,366.19,48,Medium,0.13,0
105,7,6.1,156.85,224,Medium,0.17,0
106,9,7.2,280.56,359,Medium,0.38,0
107,9,6.7,96.9,204,Medium,0.39,0
108,11,5.9,223.03,170,Medium,0.39,0
109,5,4.9,269.45,275,Low,0.19,0
110,9,1.7,343.5,122,Low,0.33,0
111,3,5.9,477.74,268,Low,0.52,0
112,6,5.4,320.29,234,High,0.23,0
113,6,5.5,384.62,77,Low,0.3,0
114,7,2.4,277.82,274,Low,0.44,0
115,9,2.8,335.35,349,High,0.06,0
116,9,7.1,81.92,346,High,0.23,0
117,6,4.9,164.48,324,Medium,0.41,0
118,9,6.4,212.83,157,Low,0.12,0
119,5,5.1,262.62,311,Low,0.43,0
120,8,5.1,70.54,46,Low,0.03,0
121,4,6.9,113.01,100,Low,0.33,0
122,11,4.0,174.57,298,Low,0.48,0
123,7,5.2,487.19,354,Medium,0.24,0
124,8,4.1,199.11,311,High,0.28,0
125,6,4.1,266.92,334,Low,0.19,0
126,9,4.4,138.24,36,Medium,0.22,0
127,11,5.4,324.85,343,Medium,0.23,0
128,9,4.0,176.31,334,Low,0.38,0
129,3,7.5,143.15,132,Medium,0.47,0
130,3,3.2,282.46,338,Low,0.12,0
131,11,4.6,52.48,222,Low,0.43,0
132,11,4.1,53.45,270,Medium,0.17,0
133,6,7.9,148.58,91,Low,0.05,0
134,11,5.4,66.52,46,High,0.18,0
135,5,7.1,98.61,200,Low,0.36,0
136,9,2.0,202.49,54,Medium,0.49,0
137,8,5.5,411.16,280,Medium,0.08,0
138,10,6.8,307.42,282,Low,0.34,0
139,11,5.2,280.7,236,Low,0.47,0
140,7,7.1,182.07,58,Medium,0.23,0
141,3,4.0,469.29,146,High,0.39,0
142,5,7.8,228.66,311,High,0.05,0
143,10,9.6,89.19,173,Medium,0.38,0
144,8,4.3,327.68,54,Medium,0.21,0
145,10,4.1,101.23,339,Medium,0.11,0
146,11,7.9,205.35,185,Medium,0.38,0
147,6,8.2,278.34,102,Medium,0.16,0
148,3,4.0,443.4,149,Medium,0.19,0
149,3,4.2,272.1,341,High,0.16,0
150,6,4.4,366.02,350,Low,0.35,0
151,9,2.3,496.77,122,High,0.43,0
152,4,3.2,109.17,115,Medium,0.1,0
153,5,3.0,173.63,147,Low,0.12,0
154,3,3.5,227.56,262,Low,0.25,0
155,7,4.9,239.82,228,Low,0.34,0
156,3,5.5,234.96,235,Medium,0.16,0
157,10,8.1,458.42,176,High,0.21,0
158,3,3.0,371.31,300,Low,0.06,0
159,3,7.0,323.56,168,High,0.14,0
160,4,4.6,189.22,210,High,0.31,0
161,4,4.9,420.71,59,Low,0.2,0
162,8,6.3,479.78,86,High,0.37,0
163,9,2.8,419.54,261,High,0.13,0
164,7,5.8,50.7,175,Medium,0.34,0
165,3,5.3,336.38,77,Medium,0.62,0
166,3,6.0,73.01,223,High,0.36,0
167,5,5.6,165.92,253,Medium,0.34,0
168,4,9.9,76.79,165,Low,0.11,0
169,7,3.7,321.71,51,High,0.54,0
170,8,3.9,358.97,35,Medium,0.21,0
171,9,3.8,101.52,233,Medium,0.41,0
172,6,3.9,222.73,268,Low,0.25,0
173,9,3.7,255.31,214,Medium,0.14,0
174,10,7.4,216.07,321,Low,0.01,0
175,3,7.8,104.46,364,High,0.28,0
176,8,3.9,238.53,249,Low,0.48,0
177,10,3.3,388.03,145,Low,0.2,0
178,7,5.9,81.95,342,Medium,0.01,0
179,6,3.9,86.08,78,Low,0.34,0
180,4,6.3,209.65,202,Medium,0.74,0
181,8,5.4,473.78,111,High,0.14,0
182,8,2.0,350.86,351,High,0.05,0
183,3,8.1,355.4,362,Low,0.31,0
184,11,8.6,212.86,74,Low,0.15,0
185,8,3.8,317.15,364,High,0.29,0
186,5,4.2,54.56,49,High,0.19,0
187,6,5.6,336.24,250,Medium,0.18,0
188,6,5.7,460.98,152,Medium,0.12,0
189,5,6.3,325.66,263,Low,0.2,0
190,5,9.0,443.16,250,High,0.42,0
191,5,4.6,375.79,352,Medium,0.04,0
192,6,3.4,104.25,32,Low,0.41,0
193,9,2.2,456.1,211,Low,0.43,0
194,6,3.5,79.9,235,High,0.43,0
195,11,4.9,290.29,349,Low,0.54,0
196,3,8.6,113.96,69,Low,0.14,0
197,10,4.0,55.27,88,Medium,0.13,0
198,9,5.4,239.92,91,Low,0.28,0
199,4,5.0,182.77,161,Low,0.18,0
200,10,7.4,268.7,89,High,0.41,0
201,3,10.1,309.74,360,High,0.06,0
202,11,3.9,69.68,151,High,0.56,0
203,11,4.0,105.35,136,High,0.25,0
204,4,7.1,301.39,125,Medium,0.39,0
205,9,6.4,204.43,264,High,0.12,0
206,5,8.7,378.13,91,Low,0.41,0
207,9,6.2,343.53,285,Medium,0.18,0
208,11,4.3,430.52,78,High,0.52,0
209,6,6.2,361.62,188,Low,0.16,0
210,3,7.2,243.47,153,Low,0.27,1
211,4,6.6,352.83,346,Medium,0.08,0
212,3,6.0,173.92,236,Low,0.07,0
213,7,7.1,187.84,77,Low,0.26,0
214,7,7.3,405.04,165,High,0.12,0
215,9,7.8,250.89,230,High,0.06,0
216,11,6.3,409.27,279,Medium,0.44,0
217,11,4.7,420.09,343,Low,0.47,0
218,5,5.3,435.9,347,Low,0.31,0
219,5,7.4,462.49,324,High,0.36,0
220,5,3.4,243.94,343,Medium,0.4,0
221,6,5.7,193.49,238,Low,0.34,0
222,10,4.2,311.99,240,Medium,0.15,0
223,8,5.1,217.03,221,Low,0.46,0
224,10,7.6,320.48,73,Medium,0.31,0
225,3,5.4,367.51,58,High,0.06,0
226,10,5.1,359.78,88,Medium,0.34,0
227,6,2.3,218.55,100,Medium,0.26,0
228,3,6.5,125.09,121,Low,0.37,0
229,10,6.3,243.74,294,Medium,0.19,0
230,6,9.3,114.17,249,Medium,0.15,0
231,8,4.4,450.54,244,Low,0.06,0
232,10,5.4,205.64,306,Medium,0.34,0
233,6,5.5,119.51,93,Low,0.19,0
234,5,8.2,61.45,321,High,0.22,0
235,11,4.8,340.62,274,Medium,0.26,0
236,5,5.6,336.61,91,High,0.32,0
237,11,6.2,203.27,361,Low,0.27,0
238,4,5.4,82.27,199,Medium,0.13,0
239,4,4.1,234.33,298,Medium,0.4,0
240,4,5.4,190.05,296,Medium,0.21,0
241,8,7.1,354.7,83,Low,0.03,0
242,5,2.9,322.6,45,Medium,0.42,0
243,11,5.3,214.07,37,Medium,0.21,0
244,6,3.6,148.05,133,Low,0.26,0
245,3,7.4,494.62,88,Low,0.4,0
246,6,2.0,254.3,342,Medium,0.47,0
247,3,3.9,359.72,69,Medium,0.27,0
248,7,5.8,113.25,266,Low,0.35,0
249,6,8.1,268.52,123,Low,0.09,0
250,10,4.9,62.39,251,Low,0.14,0
251,10,3.9,277.45,233,Medium,0.11,0
252,9,8.8,483.81,167,Medium,0.55,0
253,5,2.1,222.89,329,High,0.29,0
254,3,1.0,67.55,236,High,0.08,0
255,3,5.9,63.93,110,Medium,0.78,0
256,5,4.0,224.59,247,Low,0.35,0
257,8,3.0,122.01,31,Low,0.27,0
258,9,6.4,60.51,207,Low,0.26,0
259,8,5.5,390.3,308,High,0.14,0
260,8,3.9,256.34,175,Medium,0.19,0
261,8,2.4,180.16,347,Low,0.22,0
262,5,6.7,455.04,253,Low,0.36,0
263,8,6.3,102.26,91,Medium,0.46,0
264,10,4.8,480.16,323,Medium,0.55,0
265,4,8.7,191.29,268,Low,0.39,0
266,7,2.9,449.78,224,High,0.09,0
267,3,1.9,321.32,195,Medium,0.42,0
268,3,3.6,422.02,251,Low,0.04,0
269,7,4.9,492.81,90,High,0.13,0
270,5,5.5,179.78,158,Low,0.26,0
271,6,4.5,482.51,202,High,0.2,0
272,5,5.7,225.27,185,High,0.2,0
273,3,2.5,223.48,139,Medium,0.34,0
274,3,7.9,203.17,298,Medium,0.51,0
275,7,4.8,293.63,307,Low,0.11,0
276,8,7.2,119.37,103,High,0.2,0
277,5,5.7,299.17,236,Medium,0.29,0
278,11,5.9,293.77,308,Medium,0.28,0
279,7,6.1,392.86,355,High,0.29,0
280,10,5.9,425.14,233,High,0.09,0
281,3,6.3,248.2,190,High,0.01,0
282,7,7.7,186.05,57,Low,0.39,0
283,5,5.4,166.7,286,High,0.31,0
284,3,6.4,137.58,194,Medium,0.18,0
285,6,4.8,75.94,92,High,0.41,0
286,7,7.9,204.1,51,Medium,0.41,0
287,9,3.6,171.61,99,Low,0.09,0
288,3,8.6,484.89,125,Low,0.24,0
289,5,4.9,300.97,192,Medium,0.45,0
290,4,2.1,206.27,108,Medium,0.32,0
291,11,5.3,311.21,34,Low,0.14,0
292,8,3.6,112.64,345,Medium,0.57,0
293,5,6.7,249.82,149,Low,0.29,0
294,10,3.7,331.81,331,High,0.21,0
295,10,4.1,270.0,207,Medium,0.54,1
296,4,1.2,230.8,205,Low,0.47,0
297,8,4.1,497.23,246,Low,0.33,0
298,9,1.0,446.14,85,Low,0.18,0
299,4,1.8,330.53,216,Medium,0.34,0
300,4,6.5,306.22,261,Low,0.11,0
301,3,6.6,329.3,284,Low,0.33,0
302,10,5.9,140.59,133,High,0.14,0
303,3,3.1,227.81,106,High,0.29,0
304,11,4.9,67.76,259,Medium,0.44,0
305,8,5.0,264.0,287,High,0.51,0
306,9,2.7,294.36,293,Low,0.33,0
307,9,8.0,152.49,360,Medium,0.35,0
308,5,6.8,483.81,211,Medium,0.42,0
309,4,4.6,459.25,285,Medium,0.35,0
310,11,5.1,374.96,67,Low,0.44,0
311,10,5.4,290.02,205,Medium,0.44,0
312,9,1.0,441.49,56,Medium,0.14,0
313,11,4.5,108.79,305,Medium,0.15,0
314,6,3.6,405.73,169,Low,0.08,0
315,6,3.0,106.17,328,Low,0.22,0
316,3,4.4,407.39,316,Low,0.52,0
317,10,8.6,174.1,120,Low,0.35,0
318,5,6.3,444.69,90,Medium,0.41,0
319,9,3.9,474.82,192,Low,0.12,1
320,4,6.1,116.96,172,High,0.41,0
321,4,7.8,258.2,282,Low,0.19,0
322,9,6.8,491.44,298,Low,0.42,0
323,8,5.1,267.53,320,Medium,0.14,0
324,5,3.7,438.6,216,Low,0.11,0
325,11,6.4,314.93,333,Medium,0.46,0
326,8,5.8,218.9,320,Medium,0.4,0
327,8,6.8,178.6,115,Low,0.08,0
328,3,6.3,141.45,195,Low,0.2,0
329,6,7.1,392.81,143,Low,0.06,0
330,8,3.9,223.94,212,Low,0.34,0
331,8,7.6,280.07,236,Low,0.21,0
332,7,5.4,271.55,285,Low,0.22,0
333,3,9.2,309.78,264,Low,0.44,0
334,10,3.6,439.51,32,Medium,0.06,0
335,7,8.5,491.33,237,Medium,0.06,0
336,7,5.4,233.41,226,Medium,0.35,0
337,9,3.7,422.38,154,Low,0.03,0
338,6,4.0,394.04,167,Low,0.1,0
339,8,4.4,308.09,54,High,0.31,0
340,6,5.8,480.22,97,Medium,0.06,0
341,5,6.0,140.21,90,High,0.3,0
342,9,3.9,99.17,58,Low,0.4,0
343,10,5.0,434.28,48,Medium,0.33,0
344,6,9.3,247.62,200,Medium,0.19,0
345,4,8.5,431.14,103,Low,0.16,0
346,5,5.9,451.89,90,Medium,0.4,0
347,3,5.1,78.11,182,Medium,0.24,0
348,10,5.2,447.56,305,Low,0.2,0
349,5,6.2,251.74,77,Low,0.32,0
350,9,3.0,279.69,240,Medium,0.21,0
351,7,4.5,331.97,168,High,0.05,0
352,7,1.7,466.87,139,Low,0.53,0
353,9,5.8,58.6,212,Low,0.51,0
354,11,6.3,264.58,57,Low,0.61,0
355,7,4.0,359.47,226,Medium,0.19,0
356,3,8.1,375.22,220,Low,0.64,0
357,3,2.5,361.64,344,High,0.38,0
358,4,2.1,110.5,80,Low,0.1,0
359,8,5.4,184.73,178,Low,0.46,0
360,11,7.1,211.42,297,Medium,0.66,0
361,10,8.4,412.0,79,High,0.54,0
362,7,4.1,175.44,275,Medium,0.36,0
363,3,7.2,144.82,142,Medium,0.21,0
364,9,4.9,480.85,199,High,0.49,0
365,7,4.7,53.99,195,Low,0.05,0
366,8,6.8,499.02,43,High,0.15,0
367,9,6.3,354.57,232,Low,0.11,0
368,5,1.8,422.81,317,Medium,0.22,0
369,5,8.0,182.58,218,Medium,0.37,0
370,7,7.8,56.44,184,Low,0.25,0
371,8,3.7,382.04,84,High,0.11,0
372,11,5.8,425.37,211,Low,0.07,1
373,7,6.0,383.21,239,Low,0.27,0
374,3,5.5,114.28,104,Medium,0.32,0
375,6,3.9,389.04,306,Low,0.18,0
376,7,3.7,396.02,162,Medium,0.39,0
377,7,4.9,346.34,88,Low,0.08,0
378,9,7.3,394.75,211,Low,0.63,0
379,6,6.1,430.66,350,Low,0.57,0
380,3,4.3,326.12,93,Low,0.24,0
381,7,6.5,89.87,356,Medium,0.36,0
382,9,1.0,269.43,289,Medium,0.29,0
383,8,7.3,84.94,222,High,0.29,0
384,7,1.5,233.39,172,High,0.18,0
385,6,4.3,233.2,133,Low,0.11,0
386,4,2.8,79.7,243,Medium,0.29,0
387,6,2.4,206.97,271,Low,0.13,0
388,5,7.3,99.95,238,Low,0.29,0
389,3,4.1,413.71,122,Medium,0.32,0
390,10,5.7,476.46,171,Low,0.31,0
391,7,4.9,82.54,141,Low,0.16,0
392,6,6.0,479.8,88,High,0.43,0
393,10,5.2,285.16,72,Medium,0.36,0
394,9,2.4,184.8,236,Medium,0.19,0
395,4,7.0,84.59,297,Low,0.17,0
396,3,4.0,275.28,325,Low,0.52,0
397,6,1.9,407.53,147,High,0.26,0
398,10,4.1,368.19,49,Low,0.26,0
399,4,8.0,72.6,251,Medium,0.03,0
400,5,6.7,82.81,195,Low,0.42,0
401,3,4.3,231.29,160,Medium,0.57,0
402,3,4.3,182.88,185,Low,0.24,0
403,5,4.4,154.57,213,High,0.05,0
404,7,9.2,176.45,119,High,0.2,0
405,5,5.8,411.57,123,Medium,0.33,0
406,3,5.9,468.15,42,Low,0.34,0
407,3,7.1,232.3,351,High,0.29,0
408,10,5.5,457.75,322,Medium,0.11,0
409,4,4.5,194.67,259,Low,0.43,0
410,5,4.6,264.4,351,Medium,0.19,0
411,4,4.9,151.71,321,Low,0.07,0
412,5,4.9,338.21,55,Low,0.32,0
413,9,6.5,490.54,104,Medium,0.14,0
414,3,5.1,321.57,328,Low,0.16,0
415,10,6.5,211.02,179,Medium,0.13,1
416,4,4.8,341.52,177,Low,0.13,0
417,5,5.2,105.31,37,High,0.21,0
418,11,1.0,449.9,58,High,0.18,0
419,9,6.8,276.39,325,High,0.09,0
420,6,5.7,252.21,238,Low,0.1,0
421,7,7.0,313.64,157,Low,0.36,0
422,4,1.0,331.15,145,Medium,0.17,0
423,10,9.2,82.3,173,Low,0.46,0
424,6,4.7,357.18,347,Low,0.18,0
425,11,7.2,158.87,264,Medium,0.23,0
426,7,2.9,371.28,36,Medium,0.13,0
427,11,6.2,420.14,74,High,0.06,0
428,6,2.9,411.78,268,Low,0.13,0
429,7,3.8,298.63,184,Low,0.34,0
430,11,8.8,284.08,210,Low,0.06,1
431,10,4.6,114.29,244,High,0.24,0
432,5,5.4,398.91,117,Medium,0.32,0
433,3,6.7,172.13,285,High,0.55,0
434,5,6.0,273.51,102,High,0.24,0
435,6,5.3,177.92,208,Medium,0.13,0
436,4,5.7,110.22,241,Medium,0.42,0
437,3,9.8,333.3,322,Low,0.26,0
438,9,4.9,74.45,263,Medium,0.16,0
439,10,5.4,386.89,268,Medium,0.15,0
440,9,7.1,192.91,252,Medium,0.43,0
441,7,7.2,50.06,148,High,0.31,0
442,3,7.4,280.01,342,High,0.14,0
443,9,6.3,71.08,293,Medium,0.46,0
444,9,2.7,174.28,236,Medium,0.12,0
445,11,8.3,368.14,124,Medium,0.59,0
446,5,2.7,78.21,251,Low,0.33,0
447,11,5.6,427.7,305,Low,0.52,0
448,3,3.5,51.72,260,Medium,0.08,0
449,3,4.9,161.07,338,Medium,0.38,0
450,6,5.7,383.41,148,Low,0.45,0
451,11,5.6,192.32,297,High,0.48,0
452,8,5.8,95.85,302,Low,0.08,0
453,5,8.2,212.11,93,Low,0.55,0
454,3,5.9,171.68,327,Medium,0.56,0
455,6,4.5,429.22,40,Low,0.35,0
456,11,6.9,191.01,127,Low,0.48,0
457,5,7.4,405.02,100,Low,0.42,0
458,11,2.5,451.34,87,Medium,0.02,0
459,9,6.2,245.22,319,Medium,0.37,0
460,6,6.4,459.47,280,Medium,0.23,0
461,5,4.4,219.79,305,Medium,0.21,0
462,7,7.8,483.84,79,Low,0.43,0
463,7,4.7,90.18,245,High,0.21,0
464,5,5.3,359.16,81,Low,0.36,0
465,11,4.7,272.22,300,High,0.18,0
466,6,5.0,224.44,113,Medium,0.24,0
467,7,2.8,334.72,322,High,0.27,0
468,6,2.1,366.74,155,Low,0.07,0
469,7,8.2,51.96,325,Medium,0.26,0
470,9,3.3,125.13,101,Low,0.34,0
471,11,3.0,370.87,325,Low,0.38,0
472,9,1.0,349.87,265,Medium,0.19,0
473,7,3.7,484.72,85,Low,0.34,0
474,9,2.4,392.47,139,Medium,0.14,0
475,7,8.3,477.85,221,Low,0.1,0
476,5,7.0,366.14,122,Low,0.24,0
477,9,3.6,184.12,85,Medium,0.26,0
478,4,9.5,97.41,89,Medium,0.33,0
479,11,7.0,401.82,167,Medium,0.15,0
480,3,4.4,339.87,68,Medium,0.22,0
481,8,1.0,71.68,57,High,0.04,0
482,9,9.6,212.02,78,Low,0.22,0
483,10,2.2,480.56,154,Medium,0.69,0
484,11,1.7,275.18,42,High,0.1,0
485,4,7.0,244.73,65,Medium,0.5,0
486,4,9.9,255.96,130,Medium,0.25,0
487,7,7.8,144.0,311,Medium,0.28,0
488,7,6.1,215.92,115,Medium,0.1,0
489,8,6.2,216.42,33,Medium,0.31,0
490,5,6.7,73.56,252,Low,0.2,1
491,10,6.5,395.41,195,Low,0.26,0
492,3,5.6,237.43,307,High,0.19,0
493,8,5.2,419.98,159,Low,0.12,0
494,6,4.9,432.66,60,Medium,0.28,0
495,3,3.5,145.4,40,Low,0.33,0
496,9,4.4,345.81,331,Medium,0.2,1
497,11,1.6,262.53,125,Low,0.15,0
498,6,4.8,446.07,219,Low,0.16,0
499,6,3.0,147.08,221,High,0.42,0
500,8,2.8,355.02,295,High,0.3,0
501,5,5.4,323.49,157,Medium,0.33,0
502,8,7.8,182.89,267,Medium,0.37,0
503,9,6.8,111.47,141,Medium,0.05,0
504,5,1.9,343.24,345,Medium,0.11,0
505,9,3.0,382.37,174,Medium,0.54,0
506,5,6.9,192.03,94,Low,0.07,0
507,4,3.0,340.17,276,Medium,0.19,0
508,6,4.6,227.81,252,Medium,0.45,0
509,10,6.1,370.94,342,High,0.22,0
510,11,3.1,139.65,135,Low,0.16,0
511,9,5.2,450.6,210,Medium,0.24,0
512,3,2.3,179.33,213,Medium,0.24,0
513,5,3.8,215.5,255,Medium,0.17,0
514,11,5.6,76.14,294,Low,0.02,1
515,3,1.8,100.18,307,Medium,0.11,0
516,11,5.9,282.14,118,Low,0.24,0
517,10,5.0,170.42,205,Low,0.18,0
518,3,6.1,425.97,47,Medium,0.41,0
519,8,5.4,56.61,135,Medium,0.23,0
520,7,7.7,220.59,300,Medium,0.4,0
521,8,5.3,201.81,348,High,0.13,0
522,7,4.1,58.7,196,Low,0.36,0
523,8,5.2,105.97,42,Low,0.11,0
524,7,6.1,236.14,61,Medium,0.22,0
525,7,5.1,271.79,69,Low,0.46,0
526,6,5.1,231.93,177,Low,0.13,1
527,5,3.6,288.92,247,Low,0.34,0
528,5,3.7,317.81,248,Low,0.3,0
529,6,2.2,54.47,111,High,0.14,0
530,11,8.5,258.84,362,Low,0.41,0
531,4,2.5,483.57,237,Medium,0.27,0
532,11,3.6,283.56,230,Low,0.47,0
533,3,3.6,354.89,361,Medium,0.21,0
534,3,6.8,190.34,67,Low,0.6,0
535,7,4.4,398.3,240,Medium,0.62,0
536,8,7.5,397.81,356,Medium,0.2,0
537,8,3.7,284.58,278,Low,0.6,0
538,5,5.6,489.21,256,Medium,0.15,0
539,9,3.3,106.5,77,Low,0.06,0
540,11,9.3,57.63,47,Medium,0.42,0
541,10,2.6,396.57,324,Low,0.1,0
542,8,5.6,413.22,225,High,0.29,0
543,10,6.3,104.09,216,Low,0.26,0
544,7,5.8,169.51,253,Medium,0.28,0
545,10,4.6,57.9,347,Low,0.29,0
546,6,4.7,181.99,258,Low,0.14,0
547,10,5.1,397.91,106,Medium,0.24,0
548,4,4.7,283.08,217,High,0.19,0
549,7,6.9,206.64,299,Low,0.27,1
550,11,9.4,217.28,124,Low,0.22,1
551,6,3.9,50.61,339,Low,0.44,0
552,8,2.3,184.91,161,Low,0.23,0
553,3,4.8,340.91,68,Low,0.19,0
554,11,10.2,488.39,101,Medium,0.27,0
555,3,3.4,431.18,310,Low,0.11,0
556,7,8.3,60.62,362,Low,0.26,0
557,6,8.4,454.35,189,Medium,0.02,0
558,5,3.9,402.44,216,Low,0.35,0
559,8,6.1,401.17,220,Low,0.36,0
560,4,8.3,256.1,149,Low,0.21,0
561,5,4.2,229.1,249,Medium,0.02,0
562,7,4.6,186.31,82,Low,0.2,0
563,11,3.8,79.56,251,Medium,0.5,0
564,4,3.0,152.71,160,Low,0.1,0
565,10,3.7,160.97,266,Medium,0.0,0
566,4,2.6,267.83,275,Low,0.37,0
567,7,5.1,386.35,255,Medium,0.68,0
568,9,3.5,263.21,237,High,0.21,0
569,10,5.5,76.03,125,Medium,0.28,0
570,3,1.9,481.01,229,Low,0.26,0
571,8,5.7,474.23,276,Low,0.15,0
572,3,6.7,403.34,101,Low,0.35,0
573,4,1.0,496.1,347,Low,0.12,0
574,3,5.7,295.02,214,Low,0.21,0
575,7,7.5,483.25,35,Medium,0.17,0
576,11,2.6,84.02,235,Low,0.61,0
577,8,8.3,214.56,61,Medium,0.14,0
578,3,5.8,151.42,128,Medium,0.3,0
579,3,3.6,138.12,285,Medium,0.55,0
580,4,4.9,113.36,216,Low,0.16,0
581,11,6.1,330.09,105,High,0.55,0
582,5,5.2,401.59,206,Low,0.45,0
583,3,6.1,310.23,344,Medium,0.21,0
584,7,3.2,116.13,316,Medium,0.08,0
585,9,5.3,415.01,284,Medium,0.17,0
586,8,2.2,336.18,354,Medium,0.16,0
587,3,4.8,224.67,219,Low,0.26,0
588,7,3.2,353.36,337,Low,0.13,0
589,7,3.5,166.96,156,Medium,0.28,0
590,8,7.5,205.34,316,Low,0.3,0
591,5,7.2,462.87,283,High,0.42,0
592,7,6.2,180.73,242,Low,0.21,0
593,9,2.8,261.49,279,Low,0.27,0
594,7,4.4,450.56,113,Low,0.12,0
595,7,7.4,368.47,42,Low,0.44,0
596,7,5.3,77.99,74,Medium,0.43,0
597,5,9.6,116.29,156,Medium,0.08,0
598,3,5.8,53.53,143,Medium,0.66,0
599,7,5.4,333.91,305,High,0.11,0
600,11,4.4,251.45,234,High,0.46,0
